Region,Instance Type,Database Engine,Model
ap-northeast-1,db.r6g.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.12xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r6g.16xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r6g.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r6g.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r6g.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.large,Aurora MySQL,Standard
ap-northeast-1,db.r7g.large,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.large,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.large,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.2xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.4xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.8xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.12xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7g.16xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7g.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7g.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7g.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.large,Aurora MySQL,Standard
ap-northeast-1,db.r7i.large,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.large,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.large,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.2xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.2xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.2xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.2xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.4xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.4xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.4xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.4xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.8xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.8xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.8xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.8xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.12xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.12xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.12xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.12xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-1,db.r7i.16xlarge,Aurora MySQL,Standard
ap-northeast-1,db.r7i.16xlarge,Aurora MySQL,IOOptimized
ap-northeast-1,db.r7i.16xlarge,Aurora PostgreSQL,Standard
ap-northeast-1,db.r7i.16xlarge,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.t4g.micro,Aurora MySQL,Standard
ap-northeast-2,db.t4g.micro,Aurora MySQL,IOOptimized
ap-northeast-2,db.t4g.micro,Aurora PostgreSQL,Standard
ap-northeast-2,db.t4g.micro,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.t4g.small,Aurora MySQL,Standard
ap-northeast-2,db.t4g.small,Aurora MySQL,IOOptimized
ap-northeast-2,db.t4g.small,Aurora PostgreSQL,Standard
ap-northeast-2,db.t4g.small,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.t4g.medium,Aurora MySQL,Standard
ap-northeast-2,db.t4g.medium,Aurora MySQL,IOOptimized
ap-northeast-2,db.t4g.medium,Aurora PostgreSQL,Standard
ap-northeast-2,db.t4g.medium,Aurora PostgreSQL,IOOptimized
ap-northeast-2,db.t4g.large,Aurora MySQL,Standard
ap-northeast-2,db.t4g.large,Aurora MySQL,IOOptimized
